FeatureID	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c
PF00282.22	0	0	1	0	1	1	0	2	0	1	4	6	2	9	5
PF13508.10	0	1	1	0	1	1	50	6	5	2	10	23	29	3	8
PF01321.21	8	2	7	10	6	13	16	14	24	17	14	25	23	26	18
PF03960.18	0	1	1	2	4	7	38	7	7	3	4	1	200	4	1
PF17757.4	5	2	9	10	11	14	28	46	67	39	56	87	34	87	77
PF02559.19	5	3	4	9	6	11	23	27	31	23	37	49	31	50	53
PF00270.32	8	14	15	17	22	24	61	91	147	107	168	270	86	207	190
PF03461.18	3	0	3	7	6	8	8	24	29	20	35	45	12	50	46
PF05833.14	1	1	3	4	1	3	15	3	7	7	8	10	12	15	13
PF05670.16	1	1	3	4	1	3	15	3	7	7	8	10	12	15	13
PF02653.19	37	33	38	32	10	32	114	82	61	61	54	126	667	86	83
PF00224.24	6	2	11	10	8	11	24	8	10	40	18	26	24	18	19
PF02887.19	6	2	9	10	6	11	24	8	10	40	18	25	23	18	15
PF01210.26	2	1	3	4	5	1	8	4	8	4	7	12	8	6	7
PF07479.17	2	1	3	4	5	1	8	4	7	5	7	12	8	5	7
PF20618.1	2	1	3	4	5	1	8	4	7	5	5	7	8	4	5
PF00483.26	136	188	146	115	70	200	555	95	122	238	88	94	600	96	79
PF00348.20	1	6	9	3	1	8	6	17	11	8	10	23	8	22	20
PF01180.24	2	7	3	0	2	1	5	17	21	10	24	37	12	36	29
PF13421.9	0	3	1	4	1	6	8	5	4	4	8	18	10	6	7
PF00849.25	2	5	8	7	5	14	17	27	22	30	35	46	26	42	41
PF00690.29	3	4	7	13	11	13	28	25	25	30	22	37	41	30	25
PF00689.24	3	4	7	13	11	13	28	25	25	30	23	37	41	29	26
PF06736.14	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
PF05382.16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF05263.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF14657.9	3	1	0	3	2	5	10	77	104	88	227	300	37	132	174
PF14659.9	7	16	5	3	5	10	73	166	274	220	432	583	79	240	307
PF06146.15	0	0	0	0	0	0	0	0	1	0	0	0	6	0	1
PF00392.24	12	13	18	10	21	34	42	50	65	69	62	102	49	64	69
PF02080.24	6	5	10	7	4	7	40	18	40	23	70	90	48	55	62
PF00367.23	31	12	42	20	29	36	130	31	13	62	19	30	707	37	16
PF00358.23	2	4	8	5	18	19	39	21	11	37	13	30	94	23	16
PF01047.25	1	0	2	1	3	0	4	12	22	8	8	16	6	10	6
PF00881.27	4	2	9	3	5	11	24	43	33	27	40	72	67	70	54
PF00106.28	3	3	2	5	3	6	12	29	36	21	43	54	14	57	62
PF13292.9	2	4	5	0	4	7	15	10	15	10	14	25	21	21	19
PF02779.27	20	23	22	11	17	20	68	18	33	34	27	42	89	48	48
PF02780.23	20	22	23	11	17	21	68	19	33	34	26	40	85	44	48
PF01554.21	20	22	21	16	48	20	235	395	540	387	495	1096	987	677	654
PF01261.27	11	15	8	11	5	7	59	35	45	83	38	84	157	69	42
PF01479.28	22	31	27	40	28	58	100	77	61	60	62	82	135	75	72
PF02861.23	8	12	14	7	26	38	32	79	110	68	96	227	78	156	134
PF00004.32	19	32	49	38	58	100	180	147	196	171	171	333	188	255	210
PF17871.4	9	8	28	14	32	55	93	54	80	62	76	137	71	106	84
PF07724.17	17	22	41	34	44	70	134	85	117	107	102	196	147	152	133
PF10431.12	17	15	40	33	41	68	132	85	111	105	94	192	143	146	128
PF01370.24	3	3	1	3	1	5	14	23	42	14	32	56	33	34	32
PF13522.9	2	3	3	3	2	3	19	22	27	13	17	40	24	21	21
PF00156.30	1	6	19	10	10	21	95	41	51	28	47	97	83	59	39
PF18072.4	8	12	19	16	12	19	26	43	43	37	48	75	86	49	68
PF00586.27	4	3	5	8	4	12	16	22	19	13	20	26	20	27	43
PF02769.25	11	15	24	23	16	33	44	64	63	52	71	106	110	77	105
PF13507.9	8	12	18	16	12	19	28	42	43	37	48	75	88	47	61
PF01259.21	5	3	7	3	1	6	18	14	12	6	23	21	23	16	13
PF00128.27	47	52	70	83	43	100	205	116	198	173	171	346	312	285	199
PF02806.21	20	21	25	18	15	25	105	43	47	58	39	52	132	58	54
PF08240.15	19	15	33	14	7	33	25	27	13	41	27	49	67	45	23
PF00107.29	19	15	33	14	7	33	25	25	7	39	17	36	67	47	25
PF06541.14	0	2	0	1	1	2	26	11	22	3	7	18	61	30	21
PF02922.21	22	25	30	29	19	41	117	60	72	70	59	83	169	98	98
PF12848.10	3	13	6	9	6	12	27	42	73	49	98	138	48	84	90
PF16326.8	0	0	2	1	0	2	5	15	13	8	22	27	11	14	15
PF03577.18	0	2	3	0	5	4	18	4	10	10	17	23	8	6	6
PF11797.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF01018.25	0	0	2	0	7	3	10	15	9	13	17	20	10	17	21
PF01926.26	12	16	26	19	25	35	68	107	149	93	131	215	128	157	145
PF09269.14	0	0	2	0	5	3	10	14	6	10	10	13	10	8	17
PF00171.25	63	22	33	36	14	38	44	23	16	42	29	37	84	52	33
PF00696.31	11	19	21	16	18	34	46	44	53	35	45	82	76	63	52
PF02881.22	4	3	6	13	9	9	13	22	24	23	20	58	17	34	31
PF00448.25	5	6	9	16	11	12	20	31	37	24	24	67	25	43	34
PF02978.22	2	1	6	9	4	7	9	16	18	17	13	40	10	21	18
PF00753.30	35	46	33	28	30	46	142	130	126	100	125	217	233	144	137
PF07521.15	18	25	15	17	12	24	61	41	35	43	32	60	88	45	33
PF17770.4	4	17	9	11	9	17	41	23	19	24	24	39	61	23	24
PF01118.27	3	2	7	4	1	11	20	21	20	18	22	30	25	34	29
PF02774.21	1	2	7	4	1	10	17	14	16	12	13	15	22	23	24
PF01081.22	2	2	5	3	4	2	47	9	6	19	4	10	59	9	10
PF01263.23	4	8	2	4	5	8	16	18	19	17	17	34	22	21	23
PF13347.9	1	4	0	1	3	3	68	31	22	19	22	50	255	21	42
PF01232.26	1	2	1	1	2	5	69	11	23	14	16	22	156	22	21
PF08125.16	1	2	1	1	2	5	69	11	23	14	16	23	156	22	21
PF00356.24	8	12	7	9	1	27	67	67	52	30	50	85	108	71	72
PF13377.9	10	13	10	9	2	30	114	72	53	37	61	94	144	77	78
PF00206.23	9	10	9	13	10	13	37	24	29	30	36	78	56	42	34
PF10397.12	1	8	2	3	5	8	21	11	11	21	14	34	38	15	20
PF02926.20	3	1	7	3	5	5	20	20	14	13	15	29	28	17	12
PF01170.21	2	2	4	1	1	7	9	10	9	7	11	21	8	10	10
PF05103.16	1	0	0	0	2	0	2	1	1	5	4	1	4	1	3
PF08230.14	0	0	0	0	2	1	1	5	8	0	2	2	0	3	0
PF00155.24	24	11	31	33	21	43	155	99	107	72	134	170	141	125	116
PF01381.25	29	40	29	20	23	38	249	201	283	210	340	627	371	271	280
PF01209.21	0	0	0	0	0	0	0	2	0	0	0	5	1	1	2
PF06018.17	8	5	12	7	1	19	38	7	6	21	1	8	67	2	3
PF08222.14	8	5	12	7	1	19	38	7	6	21	1	8	67	2	3
PF12464.11	0	1	0	0	1	0	6	5	11	4	8	12	10	17	5
PF00132.27	8	24	16	10	14	11	42	29	58	34	50	101	64	69	42
PF02686.18	0	1	0	1	1	0	0	2	7	0	1	1	3	3	2
PF02903.17	3	3	1	7	5	5	7	13	9	10	8	30	18	25	11
PF07274.15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PF01425.24	1	1	2	2	1	4	17	6	17	4	12	5	8	18	17
PF01476.23	2	14	14	10	7	13	55	63	96	53	95	191	42	101	130
PF03610.19	1	4	14	2	19	9	43	9	8	9	9	2	29	2	4
PF03830.18	6	29	63	27	23	32	76	10	15	8	9	0	67	1	5
PF03609.17	9	45	72	41	54	50	88	8	5	7	11	1	235	0	6
PF03613.17	10	44	32	27	26	18	71	8	6	13	11	0	213	1	6
PF02934.18	0	0	3	2	7	4	17	14	10	6	3	20	13	16	21
PF02637.21	0	0	3	2	7	4	17	14	10	6	3	20	13	16	21
PF02403.25	3	7	11	7	7	6	29	22	26	25	19	36	55	40	30
PF00587.28	18	33	39	35	36	54	112	118	127	94	134	225	144	181	160
PF12849.10	1	1	0	0	1	2	1	15	22	16	41	68	5	24	30
PF01668.21	2	0	1	0	2	0	4	2	3	5	4	9	3	8	2
PF01411.22	7	6	16	18	7	23	29	33	47	25	31	81	62	50	37
PF07973.17	9	9	21	29	18	33	55	76	84	49	74	152	82	109	89
PF02272.22	11	13	25	36	15	35	62	75	96	54	63	141	132	100	101
PF13145.9	1	1	5	4	2	8	2	2	7	0	4	0	4	4	3
PF01596.20	0	1	3	2	1	2	8	8	5	2	6	4	5	5	3
PF08439.13	1	2	1	3	3	2	14	2	2	7	6	2	7	5	3
PF01432.23	1	4	7	4	5	9	26	3	18	21	24	26	10	16	13
PF06054.14	0	0	0	0	1	0	0	0	0	2	5	5	0	0	7
PF01027.23	1	4	1	0	3	0	15	1	1	3	4	5	16	3	1
PF01966.25	52	62	89	75	49	141	306	199	179	145	110	260	399	170	153
PF04892.15	3	4	1	1	2	2	7	19	13	9	21	31	20	14	11
PF01264.24	2	0	1	0	2	1	3	12	5	5	2	14	14	7	11
PF06335.15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PF04657.16	0	0	0	0	2	0	1	0	5	0	2	1	12	2	8
PF01761.23	2	1	2	1	0	1	4	9	7	3	12	17	18	13	14
PF09335.14	0	0	0	1	1	0	1	0	1	5	2	7	4	3	5
PF00497.23	8	3	7	4	9	12	54	38	32	31	53	76	88	72	66
PF02874.26	128	118	133	174	77	194	358	141	191	194	108	171	528	128	143
PF00006.28	134	123	143	183	80	205	372	166	212	209	124	203	559	156	167
PF00306.30	25	29	36	40	25	72	105	52	51	47	16	39	177	24	40
PF00213.21	2	8	10	9	2	12	58	18	17	18	8	21	45	5	10
PF00119.23	4	3	7	12	1	5	56	10	14	10	3	13	161	11	12
PF01694.25	2	2	0	0	1	2	1	8	5	2	7	12	12	10	7
PF01592.19	1	1	3	1	3	2	71	19	17	8	15	11	22	4	3
PF13527.10	1	0	4	0	1	4	14	4	12	7	8	7	15	16	8
PF17668.4	0	0	3	0	1	1	8	1	0	0	2	0	8	5	1
PF04997.15	21	38	49	56	23	69	116	95	114	117	112	159	188	140	81
PF00623.23	32	58	69	81	32	110	188	173	212	205	208	292	299	244	155
PF04983.21	22	38	50	56	24	69	116	96	114	116	112	159	187	139	81
PF05000.20	22	38	50	56	24	69	116	97	113	118	113	160	187	139	82
PF04998.20	22	41	52	57	24	72	118	97	113	121	115	159	188	140	82
PF19200.3	0	1	3	2	1	7	2	0	1	1	0	0	1	0	0
PF05913.14	0	1	3	2	1	7	2	0	1	1	0	0	1	0	0
PF04563.18	23	23	46	33	35	66	147	87	103	85	94	149	227	97	93
PF04561.17	43	46	74	60	52	123	259	166	182	159	169	293	423	181	170
PF04565.19	23	24	46	33	35	67	147	88	102	85	93	149	227	96	93
PF10385.12	23	24	46	33	35	67	147	88	102	85	93	149	227	96	91
PF00562.31	24	25	47	36	35	69	147	88	105	88	93	152	227	96	95
PF04560.23	18	25	46	36	35	68	145	88	105	83	93	152	221	96	96
PF05649.16	1	2	6	1	3	6	3	3	9	13	14	30	7	13	10
PF01431.24	1	2	6	1	3	6	3	3	9	13	14	30	7	13	10
PF01943.20	1	4	0	2	0	7	14	21	24	19	20	61	62	41	25
PF14667.9	1	3	0	3	0	7	10	23	25	22	20	62	54	36	26
PF01368.23	8	8	19	23	11	17	41	48	57	41	48	68	84	63	76
PF02833.17	4	1	10	5	3	5	4	3	3	12	10	5	11	10	9
PF01595.23	4	4	2	13	5	7	28	18	19	17	24	48	58	31	19
PF00571.31	32	50	58	56	36	52	151	91	133	139	127	231	319	163	132
PF03471.20	4	4	2	13	5	8	29	18	20	18	25	50	59	30	20
PF17760.4	2	7	7	3	8	5	16	25	49	21	61	69	20	43	62
PF17755.4	2	7	7	3	8	5	16	26	50	27	66	73	23	47	59
PF04263.19	1	0	2	2	0	0	3	2	5	4	5	7	1	13	10
PF04265.17	1	0	2	2	0	0	3	2	6	4	5	7	0	14	10
PF00582.29	0	2	0	4	2	1	11	0	3	8	2	7	30	7	3
PF19300.2	2	3	9	3	1	8	31	18	14	13	10	36	85	31	18
PF08352.15	17	24	17	20	20	29	125	52	42	34	37	80	111	83	63
PF01134.25	0	1	6	1	5	4	14	22	25	10	25	43	17	24	28
PF13932.9	0	1	5	1	4	4	11	21	22	9	20	41	12	21	21
PF01406.22	1	3	7	2	2	8	12	11	23	19	17	32	16	22	23
PF09190.14	1	3	6	1	1	8	10	9	19	13	16	25	13	18	16
PF01138.24	18	20	28	51	12	33	71	128	140	114	133	221	220	160	135
PF03725.18	12	14	23	33	11	25	50	102	122	92	118	182	170	127	100
PF03726.17	7	9	11	17	5	15	33	58	64	48	57	92	101	63	43
PF00013.32	44	48	74	78	46	111	187	143	154	144	118	194	302	137	121
PF00575.26	192	182	208	254	98	340	979	450	463	433	367	577	865	433	403
PF00009.30	291	460	502	596	240	745	2334	551	789	712	457	664	2545	569	545
PF03144.28	277	452	481	568	225	686	2254	446	626	579	298	364	2410	425	369
PF03143.20	160	272	293	330	132	367	1616	231	310	343	119	104	1763	174	159
PF00133.25	19	32	35	42	24	52	97	95	158	97	160	226	188	185	178
PF08264.16	22	35	40	48	27	60	101	103	167	100	167	236	196	193	179
PF06827.17	0	0	1	0	9	1	1	6	8	9	18	17	21	15	16
PF00091.28	7	9	20	21	13	21	44	16	24	23	13	39	53	25	7
PF12327.11	7	9	20	21	12	21	44	16	24	19	12	27	52	20	7
PF00126.30	4	4	9	7	7	6	38	54	48	53	73	99	42	67	83
PF03466.23	4	3	10	6	7	6	35	55	49	51	71	101	43	67	83
PF04055.24	42	41	61	43	36	48	162	160	209	139	260	372	226	280	281
PF13394.9	2	2	0	0	6	1	8	9	13	7	17	30	18	29	25
PF01029.21	1	1	6	8	2	9	7	12	15	3	11	17	15	15	14
PF01189.20	1	2	5	4	0	6	15	17	23	6	25	25	13	21	20
PF04226.16	0	0	0	2	5	4	0	0	0	17	0	0	31	0	1
PF00551.22	4	5	7	9	5	12	21	26	22	21	22	26	12	22	16
PF02911.21	2	3	1	0	1	5	11	12	14	6	6	21	5	16	11
PF06983.16	0	0	0	0	1	0	0	4	1	0	1	0	1	0	1
PF12072.11	35	38	60	52	40	93	151	77	84	84	50	83	190	55	53
PF01182.23	10	7	9	8	16	10	33	9	10	13	11	12	35	11	8
PF00712.22	3	5	2	2	0	7	32	3	11	11	13	17	46	10	9
PF02767.19	3	5	2	2	0	7	32	3	11	11	13	17	46	10	9
PF02768.18	3	5	2	2	0	7	32	3	11	11	13	17	46	10	9
PF01116.23	42	78	55	68	33	80	349	30	79	92	37	58	334	44	41
PF03129.23	17	28	29	31	29	53	89	99	112	74	129	206	96	149	139
PF03477.19	14	16	19	20	19	25	60	51	73	42	44	92	76	67	68
PF14681.9	0	2	5	3	3	7	12	4	8	12	5	9	12	9	5
PF01053.23	4	6	3	3	3	9	50	16	15	27	21	31	29	28	10
PF02646.19	0	1	0	0	1	0	0	1	6	6	9	10	0	4	7
PF16745.8	0	2	1	0	2	3	10	7	6	4	2	14	15	4	6
PF03193.19	0	2	1	0	2	3	11	9	8	5	3	15	15	4	6
PF01588.23	11	10	18	15	18	23	46	34	69	52	53	89	77	72	74
PF03483.20	3	2	6	3	5	6	18	18	30	22	17	49	31	34	39
PF03484.18	3	2	6	3	4	5	17	17	28	22	14	44	30	33	39
PF17759.4	3	2	6	3	4	5	17	17	28	22	14	44	30	33	39
PF03147.17	3	2	6	3	4	5	17	17	28	22	14	43	30	33	38
PF02912.21	3	1	1	6	1	3	10	9	28	9	14	37	17	28	14
PF01409.23	3	1	1	6	1	3	10	9	28	9	13	38	17	28	14
PF02421.21	4	4	6	2	2	5	16	36	76	42	57	111	52	73	61
PF17910.4	4	4	5	2	2	5	15	36	72	41	53	109	52	70	60
PF07670.17	8	8	12	5	4	10	32	73	154	82	117	235	110	149	135
PF07664.15	4	4	6	2	2	5	16	36	76	41	58	111	52	71	64
PF00704.31	2	3	7	3	3	4	11	20	16	15	27	26	23	25	13
PF02839.17	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0
PF03067.18	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PF01872.20	0	0	4	1	0	2	8	2	6	5	14	12	16	13	18
PF01336.28	10	10	21	24	14	39	107	99	146	83	101	171	151	142	130
PF00152.23	10	8	21	23	13	31	94	80	126	66	94	140	115	111	103
PF02938.17	2	2	7	8	5	7	50	34	42	28	16	44	44	42	33
PF13393.9	3	3	3	5	2	7	25	25	28	13	27	36	26	23	27
PF13413.9	0	0	0	0	0	0	0	1	0	3	1	0	2	0	0
PF00675.23	9	10	6	4	5	14	29	13	32	22	33	33	27	25	28
PF05193.24	13	13	9	6	5	23	46	21	49	34	45	50	50	40	38
PF03780.16	10	7	8	6	9	7	26	10	8	10	6	5	45	5	8
PF16363.8	11	11	18	16	9	46	74	32	44	46	32	68	95	52	65
PF10509.12	5	4	7	4	2	8	11	15	10	12	8	21	44	15	35
PF00288.29	6	6	10	5	5	10	21	22	22	25	19	44	65	35	46
PF08544.16	6	3	1	3	2	4	7	15	19	19	8	37	25	28	20
PF01136.22	9	2	6	6	3	2	15	37	41	18	20	51	37	24	25
PF16325.8	2	0	4	3	2	2	5	16	11	8	5	7	9	3	5
PF00687.24	6	29	23	29	18	51	115	36	53	34	16	25	115	33	36
PF01765.22	7	7	6	7	8	13	17	12	15	16	11	21	10	7	8
PF00871.20	11	12	11	15	5	14	69	19	27	22	9	18	77	20	24
PF14492.9	113	174	188	233	91	324	624	226	291	265	203	293	657	240	205
PF00679.27	122	181	199	241	99	335	666	268	382	302	263	392	694	318	282
PF07242.14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PF04397.18	9	16	27	13	6	25	93	153	172	115	213	335	161	195	190
PF00480.23	6	17	16	9	11	29	37	23	31	22	35	53	32	31	61
PF00817.23	0	0	1	2	4	2	14	10	22	16	29	55	22	49	68
PF11798.11	0	0	0	0	2	0	0	1	0	1	0	2	0	0	0
PF11799.11	0	0	1	2	4	2	14	10	21	15	28	55	22	49	68
PF02729.24	11	6	11	4	6	14	17	22	26	23	33	49	32	46	36
PF00185.27	11	6	11	4	6	14	17	22	26	23	33	49	33	46	36
PF01316.24	1	1	2	0	0	1	1	3	3	1	2	10	5	3	1
PF02863.21	1	1	2	0	0	1	1	3	3	1	2	10	5	3	1
PF01225.28	3	3	11	4	2	5	35	26	27	13	28	53	32	41	34
PF02875.24	4	4	15	12	4	12	51	51	61	27	49	96	65	91	63
PF04321.20	0	2	3	3	2	5	13	9	2	6	10	15	11	16	11
PF00230.23	5	2	0	1	1	8	6	1	4	10	5	3	6	2	2
PF18073.4	1	0	1	1	1	2	3	9	9	8	6	17	4	19	18
PF13481.9	1	1	2	2	3	2	11	88	117	120	196	347	17	131	159
PF13541.9	1	0	1	1	3	3	7	19	16	9	11	34	7	36	38
PF01196.22	9	11	12	14	4	31	79	24	21	15	17	12	50	16	10
PF01193.27	19	21	39	42	12	70	183	48	57	43	42	40	159	45	28
PF01000.29	19	20	39	42	12	70	183	48	57	43	42	40	159	45	28
PF03118.18	19	21	39	42	12	72	187	50	62	85	53	123	169	48	31
PF00411.22	11	17	21	32	7	26	73	38	43	25	29	26	85	26	30
PF01176.22	0	4	0	5	1	5	8	8	6	11	6	10	5	8	4
PF13276.9	0	4	6	0	8	10	34	54	80	93	66	144	46	63	23
PF00406.25	5	5	3	15	1	5	23	14	10	12	11	15	20	11	8
PF05191.17	5	4	3	14	1	5	23	14	7	11	4	5	19	9	5
PF00828.22	7	11	17	35	7	28	73	30	21	30	20	19	69	23	17
PF00347.26	28	28	40	48	18	86	116	108	96	78	68	74	68	34	46
PF06480.18	5	1	5	6	4	21	19	27	34	43	30	69	29	35	39
PF17862.4	6	11	14	18	16	28	41	52	53	64	50	113	64	66	62
PF01434.21	6	18	15	19	19	29	43	52	54	64	50	110	64	68	61
PF07650.20	12	17	23	39	9	58	74	55	88	48	46	69	84	60	57
PF00189.23	11	17	18	33	5	54	67	43	74	35	37	52	61	41	41
PF00237.22	8	5	22	38	10	26	41	33	52	27	14	23	26	26	25
PF00573.25	6	16	32	34	8	45	35	24	31	23	23	31	31	24	18
PF14821.9	1	4	5	2	2	7	13	15	13	5	9	12	24	11	9
PF00291.28	6	7	11	15	9	19	75	50	41	32	38	55	61	68	38
PF04239.15	1	0	0	0	1	0	0	0	1	1	0	1	3	2	1
