"Feature ID"	Log_Ratio_Classification
"Clostridium_Q saccharolyticum_A|PF04563.18"	Denominator
"Coprobacillus cateniformis|PF04563.18"	Denominator
"Coprococcus eutactus|PF04563.18"	Denominator
"DTU089 sp001513045|PF04563.18"	Denominator
"Dubosiella newyorkensis|PF02275.21"	Numerator
"Dubosiella newyorkensis|PF04563.18"	Denominator
"Dwaynesavagella sp000270205|PF04563.18"	Denominator
"Dysosmobacter sp000403435|PF04563.18"	Denominator
"Dysosmobacter welbionis|PF04563.18"	Denominator
"ER4 sp000765235|PF04563.18"	Denominator
"Eggerthella lenta|PF04563.18"	Denominator
"Eisenbergiella porci|PF04563.18"	Denominator
"Eisenbergiella tayi|PF04563.18"	Denominator
"Enterocloster asparagiformis|PF04563.18"	Denominator
"Enterocloster bolteae|PF04563.18"	Denominator
"Enterocloster citroniae|PF04563.18"	Denominator
"Enterocloster sp000155435|PF04563.18"	Denominator
"Enterococcus faecalis|PF04563.18"	Denominator
"Erysipelatoclostridium ramosum|PF04563.18"	Denominator
"Erysipelatoclostridium saccharogumia|PF04563.18"	Denominator
"Erysipelatoclostridium spiroforme|PF04563.18"	Denominator
"Eubacterium_G sp000435815|PF04563.18"	Denominator
"Eubacterium_G ventriosum|PF04563.18"	Denominator
"Eubacterium_I sp000270305|PF04563.18"	Denominator
"Eubacterium_J plexicaudatum|PF02275.21"	Numerator
"Eubacterium_J plexicaudatum|PF04563.18"	Denominator
"Eubacterium_Q sp000703065|PF04563.18"	Denominator
"Eubacterium_R sp000433975|PF04563.18"	Denominator
"Eubacterium_R sp000436835|PF04563.18"	Denominator
"Extibacter hylemonae|PF04563.18"	Denominator
"Faecalimonas sp000209385|PF04563.18"	Denominator
"Faecousia sp000435995|PF04563.18"	Denominator
"Flavonifractor plautii|PF04563.18"	Denominator
"Gordonibacter pamelaeae|PF04563.18"	Denominator
"Hungatella_A hathewayi_A|PF04563.18"	Denominator
"Intestinibacter bartlettii|PF04563.18"	Denominator
"Intestinimonas butyriciproducens|PF04563.18"	Denominator
"Intestinimonas massiliensis|PF04563.18"	Denominator
"Kineothrix alysoides|PF04563.18"	Denominator
"Kineothrix sp000403275|PF02275.21"	Numerator
"Kineothrix sp000403275|PF04563.18"	Denominator
"Lachnoanaerobaculum saburreum|PF04563.18"	Denominator
"Lachnoclostridium_B sp000765215|PF04563.18"	Denominator
"Lacrimispora saccharolytica|PF04563.18"	Denominator
"Lactobacillus gasseri|PF04563.18"	Denominator
"Lactobacillus hominis|PF04563.18"	Denominator
"Lactococcus lactis|PF04563.18"	Denominator
"Lawsonibacter asaccharolyticus|PF04563.18"	Denominator
"Lawsonibacter sp000177015|PF04563.18"	Denominator
"Lawsonibacter sp000492175|PF02275.21"	Numerator
"Lawsonibacter sp000492175|PF04563.18"	Denominator
"Limosilactobacillus reuteri|PF04563.18"	Denominator
"MD308 sp000403475|PF02275.21"	Numerator
"MD308 sp000403475|PF04563.18"	Denominator
"Marvinbryantia formatexigens|PF04563.18"	Denominator
"Mediterraneibacter massiliensis|PF04563.18"	Denominator
"Muricomes contortus_B|PF04563.18"	Denominator
"Muricomes fissicatena_A|PF04563.18"	Denominator
"Onthomonas sp000421005|PF04563.18"	Denominator
"Oscillibacter ruminantium|PF04563.18"	Denominator
"Oscillibacter valericigenes|PF04563.18"	Denominator
"Phocea massiliensis|PF04563.18"	Denominator
"Pseudoflavonifractor capillosus|PF04563.18"	Denominator
"Robinsoniella peoriensis|PF04563.18"	Denominator
"Ruminococcus_B gnavus|PF04563.18"	Denominator
"Ruthenibacterium lactatiformans|PF04563.18"	Denominator
"Schaedlerella sp000403295|PF04563.18"	Denominator
"Sellimonas intestinalis|PF04563.18"	Denominator
"Sporofaciens sp000403455|PF04563.18"	Denominator
"Staphylococcus ureilyticus|PF04563.18"	Denominator
"Staphylococcus xylosus|PF04563.18"	Denominator
"Turicibacter sp001543345|PF04563.18"	Denominator
"UBA7477 sp001940995|PF02275.21"	Numerator
